1020_1080,0.4487,46,34,80
1080_1140,0.5234,55,28,83
1140_1200,0.5218,39,21,60
1200_1260,0.2839,20,12,32
1260_1320,0.3465,16,5,21
1440_1500,0.1325,3,1,4
1500_1560,0.0,4,1,5
180_240,0.0307,4,10,14
240_300,0.2194,6,19,25
300_360,0.395,10,19,29
360_420,0.4484,7,23,30
420_480,0.5307,11,26,37
480_540,0.0815,8,25,33
540_600,0.5936,26,36,62
600_660,0.5772,21,35,56
660_720,0.3483,20,31,51
720_780,0.5505,32,46,78
780_840,0.4144,27,36,63
840_900,0.4392,39,55,94
900_960,0.594,41,38,79
960_1020,0.5961,43,57,100
